"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_ZenarchistCoreModPrefix","MOD:","MOD:","MOD:","MOD:","МОД:","MOD:","MOD:","MOD:","MOD:","MOD:","模組:","MOD:","MOD:","模组:",
"STR_ZenDiscordMessageReceived","Your message has been successfully relayed to the admins on Discord. Please be patient for their response.","Your message has been successfully relayed to the admins on Discord. Please be patient for their response.","Vaše zpráva byla úspěšně předána administrátorům na Discordu. Prosím, vyčkejte na jejich odpověď.","Deine Nachricht wurde erfolgreich an die Admins auf Discord weitergeleitet. Bitte habe Geduld, bis sie antworten.","Ваше сообщение успешно передано администраторам в Discord. Пожалуйста, дождитесь их ответа.","Twoja wiadomość została pomyślnie przekazana administratorom na Discordzie. Prosimy o cierpliwość w oczekiwaniu na ich odpowiedź.","Az üzenetedet sikeresen továbbítottuk a Discord adminoknak. Kérjük, légy türelmes a válaszukig.","Il tuo messaggio è stato inoltrato con successo agli admin su Discord. Per favore, attendi pazientemente la loro risposta.","Tu mensaje se ha enviado correctamente a los administradores en Discord. Por favor, ten paciencia mientras responden.","Votre message a bien été transmis aux admins sur Discord. Merci de patienter le temps de leur réponse.","你的訊息已成功轉交給 Discord 上的管理員。請耐心等待他們的回覆。","メッセージはDiscordの管理者に正常に転送されました。返信をお待ちください。","A sua mensagem foi encaminhada com sucesso aos administradores no Discord. Por favor, aguarde pacientemente pela resposta deles.","你的消息已成功转交给 Discord 上的管理员。请耐心等待他们的回复。",
"STR_ZenWatchlistPlayerConnected","A player on your watchlist just connected to your server:","A player on your watchlist just connected to your server:","Hráč z vašeho seznamu sledovaných se právě připojil k vašemu serveru:","Ein Spieler auf deiner Beobachtungsliste hat sich gerade mit deinem Server verbunden:","Игрок из вашего списка наблюдения только что подключился к вашему серверу:","Gracz z twojej listy obserwowanych właśnie połączył się z twoim serwerem:","A megfigyelési listádon szereplő játékos épp most csatlakozott a szerveredhez:","Un giocatore nella tua lista di osservazione si è appena connesso al tuo server:","Un jugador de tu lista de vigilancia acaba de conectarse a tu servidor:","Un joueur de votre liste de surveillance vient de se connecter à votre serveur :","你監視清單上的一名玩家剛剛連線到你的伺服器：","ウォッチリストのプレイヤーがあなたのサーバーに接続しました：","Um jogador na sua lista de observação acabou de se conectar ao seu servidor:","你监视名单上的一名玩家刚刚连接到你的服务器：",
"STR_ZenKillfeed0","Killfeed","Killfeed","Záznam zabití","Kill-Feed","Лента убийств","Lista zabójstw","Öléslista","Feed uccisioni","Feed de bajas","Fil des éliminations","擊殺訊息","キルフィード","Feed de abates","击杀信息",
"STR_ZenKillfeed1","killed","killed","zabil","tötete","убил","zabił","megölte","ha ucciso","mató","a tué","擊殺了","倒した","matou","击杀了",
"STR_ZenKillfeed2","with","with","s","mit","с","z","fegyverrel","con","con","avec","用","で","com","用",
"STR_ZenKillfeed3","melee","melee","boj zblízka","Nahkampf","ближний бой","walka wręcz","közelharc","corpo a corpo","cuerpo a cuerpo","corps à corps","近戰","近接","corpo a corpo","近战",
"STR_ZenKillfeed4","Killer Age","Killer Age","Věk zabijáka","Alter des Killers","Возраст убийцы","Wiek zabójcy","A gyilkos kora","Età dell'uccisore","Edad del asesino","Âge du tueur","擊殺者年齡","キラーの年齢","Idade do assassino","击杀者年龄",
"STR_ZenKillfeed5","Victim Age","Victim Age","Věk oběti","Alter des Opfers","Возраст жертвы","Wiek ofiary","Az áldozat kora","Età della vittima","Edad de la víctima","Âge de la victime","受害者年齡","被害者の年齢","Idade da vítima","受害者年龄",
"STR_ZenKillfeed6","(possible aggressor)","(possible aggressor)","(možný agresor)","(möglicher Aggressor)","(возможный агрессор)","(możliwy agresor)","(lehetséges agresszor)","(possibile aggressore)","(posible agresor)","(agresseur potentiel)","(可能的攻擊者)","(攻撃者の可能性)","(possível agressor)","(可能的攻击者)",
"STR_ZenMinutes","minutes","minutes","min","Min.","мин.","min","perc","min","min","min","分鐘","分","min","分钟",
"STR_ZenHours","hours","hours","h","Std.","ч.","godz.","óra","ore","h","h","小時","時間","h","小时",
"STR_ZenVictim","Victim","Victim","Oběť","Opfer","Жертва","Ofiara","Áldozat","Vittima","Víctima","Victime","受害者","被害者","Vítima","受害者",
"STR_ZenKiller","Killer","Killer","Zabiják","Killer","Убийца","Zabójca","Gyilkos","Assassino","Asesino","Tueur","擊殺者","キラー","Assassino","击杀者",
"STR_ZenPositionLabel","Position","Position","Pozice","Position","Позиция","Pozycja","Pozíció","Posizione","Posición","Position","位置：","位置","Posição","位置",
"STR_ZenHPLabel","HP","HP","HP","LP","ОЗ","PŻ","ÉP","PS","PV","PV","生命值","HP","PV","生命值",
"STR_ZenMonth_January","January","January","leden","Januar","январь","styczeń","január","gennaio","enero","janvier","一月","1月","janeiro","一月",
"STR_ZenMonth_February","February","February","únor","Februar","февраль","luty","február","febbraio","febrero","février","二月","2月","fevereiro","二月",
"STR_ZenMonth_March","March","March","březen","März","март","marzec","március","marzo","marzo","mars","三月","3月","março","三月",
"STR_ZenMonth_April","April","April","duben","April","апрель","kwiecień","április","aprile","abril","avril","四月","4月","abril","四月",
"STR_ZenMonth_May","May","May","květen","Mai","май","maj","május","maggio","mayo","mai","五月","5月","maio","五月",
"STR_ZenMonth_June","June","June","červen","Juni","июнь","czerwiec","június","giugno","junio","juin","六月","6月","junho","六月",
"STR_ZenMonth_July","July","July","červenec","Juli","июль","lipiec","július","luglio","julio","juillet","七月","7月","julho","七月",
"STR_ZenMonth_August","August","August","srpen","August","август","sierpień","augusztus","agosto","agosto","août","八月","8月","agosto","八月",
"STR_ZenMonth_September","September","September","září","September","сентябрь","wrzesień","szeptember","settembre","septiembre","septembre","九月","9月","setembro","九月",
"STR_ZenMonth_October","October","October","říjen","Oktober","октябрь","październik","október","ottobre","octubre","octobre","十月","10月","outubro","十月",
"STR_ZenMonth_November","November","November","listopad","November","ноябрь","listopad","november","novembre","noviembre","novembre","十一月","11月","novembro","十一月",
"STR_ZenMonth_December","December","December","prosinec","Dezember","декабрь","grudzień","december","dicembre","diciembre","décembre","十二月","12月","dezembro","十二月",
"STR_ZenMicCheck0","Mic Check","Mic Check","Kontrola mikrofonu","Mikrofon-Check","Проверка микрофона","Sprawdzenie mikrofonu","Mikrofonellenőrzés","Controllo microfono","Comprobación de micrófono","Vérification du micro","麥克風檢查","マイクチェック","Verificação do microfone","麦克风检查",
"STR_ZenMicCheck1","Display a warning if your microphone is not transmitting audio?","Display a warning if your microphone is not transmitting audio?","Zobrazit varování, pokud váš mikrofon nepřenáší zvuk?","Eine Warnung anzeigen, wenn dein Mikrofon keinen Ton überträgt?","Показывать предупреждение, если ваш микрофон не передаёт звук?","Wyświetlać ostrzeżenie, jeśli mikrofon nie przesyła dźwięku?","Jelenjen meg figyelmeztetés, ha a mikrofonod nem továbbít hangot?","Mostrare un avviso se il microfono non trasmette audio?","¿Mostrar una advertencia si tu micrófono no está transmitiendo audio?","Afficher un avertissement si votre microphone ne transmet pas de son ?","如果你的麥克風沒有傳輸音訊，是否顯示警告？","マイクが音声を送信していない場合に警告を表示しますか？","Exibir um aviso se o seu microfone não estiver a transmitir áudio?","如果你的麦克风没有传输音频，是否显示警告？",
"STR_ZenMicCheck2","Your microphone is not transmitting audio! No one can hear you speak.","Your microphone is not transmitting audio! No one can hear you speak.","Váš mikrofon nepřenáší zvuk! Nikdo vás neslyší mluvit.","Dein Mikrofon überträgt keinen Ton! Niemand kann dich sprechen hören.","Ваш микрофон не передаёт звук! Никто не слышит, что вы говорите.","Twój mikrofon nie przesyła dźwięku! Nikt nie słyszy, co mówisz.","A mikrofonod nem továbbít hangot! Senki sem hallja, amit mondasz.","Il tuo microfono non trasmette audio! Nessuno può sentirti parlare.","¡Tu micrófono no está transmitiendo audio! Nadie puede oírte hablar.","Votre microphone ne transmet pas de son ! Personne ne peut vous entendre parler.","你的麥克風沒有傳輸音訊！沒有人能聽到你說話。","マイクが音声を送信していません！誰にもあなたの声が聞こえません。","O seu microfone não está a transmitir áudio! Ninguém consegue ouvir você falar.","你的麦克风没有传输音频！没有人能听到你说话。",
